id,jobs,total_ops,machines,makespan,status,gantt_png
1,20,205,10,211,FEASIBLE,gantt_train\gantt_001_ms211.png
2,20,204,10,214,FEASIBLE,gantt_train\gantt_002_ms214.png
3,20,193,10,197,FEASIBLE,gantt_train\gantt_003_ms197.png
4,20,192,10,212,FEASIBLE,gantt_train\gantt_004_ms212.png
5,20,200,10,208,FEASIBLE,gantt_train\gantt_005_ms208.png
6,20,195,10,217,FEASIBLE,gantt_train\gantt_006_ms217.png
7,20,196,10,196,FEASIBLE,gantt_train\gantt_007_ms196.png
8,20,197,10,208,FEASIBLE,gantt_train\gantt_008_ms208.png
9,20,204,10,230,FEASIBLE,gantt_train\gantt_009_ms230.png
10,20,208,10,226,FEASIBLE,gantt_train\gantt_010_ms226.png
11,20,200,10,212,FEASIBLE,gantt_train\gantt_011_ms212.png
12,20,196,10,223,FEASIBLE,gantt_train\gantt_012_ms223.png
13,20,194,10,207,FEASIBLE,gantt_train\gantt_013_ms207.png
14,20,199,10,206,FEASIBLE,gantt_train\gantt_014_ms206.png
15,20,198,10,207,FEASIBLE,gantt_train\gantt_015_ms207.png
16,20,195,10,199,FEASIBLE,gantt_train\gantt_016_ms199.png
17,20,199,10,206,FEASIBLE,gantt_train\gantt_017_ms206.png
18,20,196,10,197,FEASIBLE,gantt_train\gantt_018_ms197.png
19,20,191,10,192,FEASIBLE,gantt_train\gantt_019_ms192.png
20,20,200,10,222,FEASIBLE,gantt_train\gantt_020_ms222.png
21,20,206,10,220,FEASIBLE,gantt_train\gantt_021_ms220.png
22,20,200,10,217,FEASIBLE,gantt_train\gantt_022_ms217.png
23,20,209,10,215,FEASIBLE,gantt_train\gantt_023_ms215.png
24,20,201,10,219,FEASIBLE,gantt_train\gantt_024_ms219.png
25,20,200,10,205,FEASIBLE,gantt_train\gantt_025_ms205.png
26,20,203,10,220,FEASIBLE,gantt_train\gantt_026_ms220.png
27,20,204,10,227,FEASIBLE,gantt_train\gantt_027_ms227.png
28,20,203,10,215,FEASIBLE,gantt_train\gantt_028_ms215.png
29,20,207,10,203,FEASIBLE,gantt_train\gantt_029_ms203.png
30,20,202,10,222,FEASIBLE,gantt_train\gantt_030_ms222.png
31,20,192,10,208,FEASIBLE,gantt_train\gantt_031_ms208.png
32,20,204,10,225,FEASIBLE,gantt_train\gantt_032_ms225.png
33,20,203,10,215,FEASIBLE,gantt_train\gantt_033_ms215.png
34,20,195,10,208,FEASIBLE,gantt_train\gantt_034_ms208.png
35,20,208,10,215,FEASIBLE,gantt_train\gantt_035_ms215.png
36,20,204,10,217,FEASIBLE,gantt_train\gantt_036_ms217.png
37,20,202,10,217,FEASIBLE,gantt_train\gantt_037_ms217.png
38,20,198,10,215,FEASIBLE,gantt_train\gantt_038_ms215.png
39,20,193,10,208,FEASIBLE,gantt_train\gantt_039_ms208.png
40,20,185,10,199,FEASIBLE,gantt_train\gantt_040_ms199.png
41,20,200,10,201,FEASIBLE,gantt_train\gantt_041_ms201.png
42,20,194,10,207,FEASIBLE,gantt_train\gantt_042_ms207.png
43,20,204,10,208,FEASIBLE,gantt_train\gantt_043_ms208.png
44,20,209,10,222,FEASIBLE,gantt_train\gantt_044_ms222.png
45,20,190,10,185,FEASIBLE,gantt_train\gantt_045_ms185.png
46,20,202,10,235,FEASIBLE,gantt_train\gantt_046_ms235.png
47,20,201,10,230,FEASIBLE,gantt_train\gantt_047_ms230.png
48,20,191,10,198,FEASIBLE,gantt_train\gantt_048_ms198.png
49,20,205,10,204,FEASIBLE,gantt_train\gantt_049_ms204.png
50,20,198,10,195,FEASIBLE,gantt_train\gantt_050_ms195.png
51,20,200,10,203,FEASIBLE,gantt_train\gantt_051_ms203.png
52,20,196,10,210,FEASIBLE,gantt_train\gantt_052_ms210.png
53,20,204,10,214,FEASIBLE,gantt_train\gantt_053_ms214.png
54,20,197,10,217,FEASIBLE,gantt_train\gantt_054_ms217.png
55,20,192,10,209,FEASIBLE,gantt_train\gantt_055_ms209.png
56,20,199,10,211,FEASIBLE,gantt_train\gantt_056_ms211.png
57,20,199,10,201,FEASIBLE,gantt_train\gantt_057_ms201.png
58,20,199,10,208,FEASIBLE,gantt_train\gantt_058_ms208.png
59,20,208,10,225,FEASIBLE,gantt_train\gantt_059_ms225.png
60,20,210,10,218,FEASIBLE,gantt_train\gantt_060_ms218.png
